card_id,card_scheme,product,subproduct,subproduct_rank
598C8C5D817A,mada,Prepaid,N/A,0
469FB7E4BE91,mada,Prepaid,N/A,0
6D54A64CB8BE,Dual,Credit,Classic,1
198D0FE05F03,mada,Debit,N/A,0
C2F5A8A6D8A2,mada,Debit,N/A,0
4C7E336E047F,Visa,Prepaid,Classic,1
551C7FD8D2A7,mada,Debit,N/A,0
87CA451FE862,Visa,Prepaid,Classic,1
1933FEBBFDB1,Visa,Credit,Platinum,2
384722799B7C,mada,Debit,N/A,0
D3E0AA80DCBB,mada,Debit,N/A,0
237194DB3580,Visa,Credit,Signature,3
6A7A1E20C141,mada,Debit,N/A,0
7F4C5858F102,Visa,Debit,Classic,1
93BAFE0422FF,mada,Debit,N/A,0
F957177C6CA5,Dual,Debit,Platinum,2
F4267A0B8F74,mada,Debit,N/A,0
A157B08A9DBB,mada,Debit,N/A,0
92CD72C70582,Visa,Debit,Classic,1
45DEB6CFAEAA,Dual,Credit,Signature,3
1D5850D8E100,Dual,Credit,Classic,1
A1831007D95E,mada,Debit,N/A,0
980EA015FEEE,mada,Debit,N/A,0
6D0373E62536,mada,Debit,N/A,0
24501647A3B1,mada,Debit,N/A,0
C9B4529B88EB,Visa,Credit,Platinum,2
AAF2CD8BFE45,mada,Debit,N/A,0
A0B3CC12C06B,Visa,Debit,Classic,1
70BBD137EF67,mada,Debit,N/A,0
E6FAB4A72FC0,Visa,Debit,Classic,1
90E227612DE4,Dual,Prepaid,Classic,1
FE9688A21770,Visa,Credit,Platinum,2
C5615B988536,Dual,Prepaid,Classic,1
DB19C0DDAD76,Visa,Debit,Platinum,2
DC62E86FBFA6,Visa,Debit,Platinum,2
B258A8B5FED1,Visa,Debit,Classic,1
E1C68D8CB1C1,mada,Debit,N/A,0
40DA1CCDDD76,mada,Debit,N/A,0
C393B65F6AF6,mada,Debit,N/A,0
36A8F2072940,mada,Debit,N/A,0
4E1EF96A3DFF,Visa,Credit,Platinum,2
FA1479261B5A,Visa,Debit,Classic,1
0A66EC88E289,mada,Debit,N/A,0
1DABE96A65DE,Visa,Debit,Platinum,2
32F49F13DA93,Visa,Credit,Platinum,2
E8E386171035,mada,Debit,N/A,0
055C55AE8221,Visa,Credit,Signature,3
D7B777B21424,Visa,Prepaid,Classic,1
E87368E7535C,Visa,Prepaid,Classic,1
DF663CB61FB4,Visa,Debit,Classic,1
3A0EF79C21C5,Visa,Debit,Classic,1
7A23F9F9D03B,Dual,Credit,Platinum,2
D581D324FD3A,Visa,Prepaid,Classic,1
7FDE0E7A5F8B,Visa,Prepaid,Classic,1
F9D51D186B7F,Visa,Credit,Platinum,2
2D5F7F064330,mada,Debit,N/A,0
F34C75C1343E,Visa,Debit,Classic,1
AF064A2EE6FD,mada,Debit,N/A,0
194B53E5C14D,mada,Debit,N/A,0
44E7D9C8705A,Visa,Debit,Platinum,2
1D6CEAA1DED2,mada,Debit,N/A,0
4BAFF33FF676,Visa,Debit,Platinum,2
F387CB516EB4,Visa,Credit,Platinum,2
DDEC8FFA38D8,Visa,Debit,Classic,1
45F0DDEE4329,Dual,Credit,Classic,1
6A0DB4B42944,mada,Debit,N/A,0
2FFDF8D89D6F,mada,Debit,N/A,0
19C47DAFB0C2,mada,Debit,N/A,0
F984358C1C5F,Visa,Debit,Classic,1
BF48E7013A83,Visa,Prepaid,Classic,1
05460DB499FF,Dual,Debit,Classic,1
E4059403A2E2,Visa,Debit,Classic,1
17F30237A7EB,mada,Debit,N/A,0
3703DEA9B499,Visa,Credit,Signature,3
41D60852EE19,Dual,Debit,Classic,1
C1FE6EE4D35E,Visa,Debit,Classic,1
766A8DE25753,Dual,Debit,Classic,1
652F3A95965D,mada,Debit,N/A,0
C43CB16858BE,Visa,Debit,Classic,1
E3ED637E579E,mada,Debit,N/A,0
D688362372B9,Visa,Debit,Classic,1
DDEE0A1F1533,mada,Debit,N/A,0
7B0A60EE5B30,Visa,Prepaid,Classic,1
B15A3FBB58AE,Visa,Prepaid,Platinum,2
ACAEA03F5458,Visa,Credit,Platinum,2
7AA479118054,Visa,Credit,Signature,3
B0B8FE3DDD02,Visa,Prepaid,Classic,1
0066E7108327,Dual,Credit,Platinum,2
AF1B9A7DC9B8,Visa,Prepaid,Classic,1
88D735BC592B,mada,Debit,N/A,0
E4F9705D1D6F,Dual,Debit,Classic,1
12AE8BA4C334,Visa,Debit,Platinum,2
B54CA294DB76,mada,Debit,N/A,0
7DC9CE969B31,mada,Debit,N/A,0
488BC33EACAC,Visa,Debit,Platinum,2
AD5CB3CD55F0,mada,Prepaid,N/A,0
1CA03A3D473E,mada,Debit,N/A,0
45CFD305D142,Visa,Debit,Platinum,2
9A17B9A8D1BE,Visa,Credit,Platinum,2
1AC679D64DFD,Visa,Debit,Classic,1
955E8D13BD89,mada,Prepaid,N/A,0
D2CA671850F9,Visa,Prepaid,Classic,1
0BA9842343E4,Visa,Credit,Platinum,2
BEFD805268D3,mada,Debit,N/A,0
F5F7E6AD67CB,Visa,Prepaid,Classic,1
12459E1A8AA8,Visa,Debit,Platinum,2
157555933B5E,Visa,Credit,Platinum,2
7F8DF96AF3B6,Visa,Prepaid,Classic,1
7A3DB2617E96,Visa,Debit,Classic,1
795EBC473C4B,Visa,Prepaid,Classic,1
E3FCAA032EA4,Dual,Credit,Platinum,2
84655B1E2EC6,Visa,Credit,Platinum,2
671695B09891,Visa,Credit,Platinum,2
A5536EA95409,Visa,Debit,Classic,1
40219A1D1C1F,Visa,Credit,Signature,3
64F3FE606849,Dual,Debit,Platinum,2
7FD7C0F8C0A8,Visa,Debit,Classic,1
8AD99E7CB28A,mada,Debit,N/A,0
225320518440,mada,Debit,N/A,0
9C1D6AA4E0EB,mada,Debit,N/A,0
9492C0F7C998,Visa,Debit,Platinum,2
89C6B5FF98C3,mada,Debit,N/A,0
D190DE3DBDB8,Dual,Debit,Classic,1
76C6FD962C36,Visa,Debit,Signature,3
032EA94E80E2,Visa,Prepaid,Classic,1
CE33881B7BDF,Visa,Credit,Signature,3
6BAC089A092E,Dual,Credit,Platinum,2
5EA4503C746E,Visa,Debit,Classic,1
6A6F495E2E8F,Visa,Credit,Platinum,2
75C2E68EABDA,Visa,Credit,Classic,1
2CE951F7E278,Visa,Debit,Classic,1
6C94CD1A3B68,mada,Debit,N/A,0
395369D38955,Visa,Credit,Platinum,2
908786C783F9,Visa,Debit,Classic,1
4B19A6CDBC72,mada,Debit,N/A,0
B1DF9D8EA10A,Dual,Credit,Platinum,2
FDE7DBD30E9B,Visa,Debit,Classic,1
A27ADD71B44C,Visa,Debit,Classic,1
84481CCB0248,mada,Debit,N/A,0
92C2939B684B,mada,Debit,N/A,0
9CDC6DB94B6E,mada,Debit,N/A,0
2BDB3EB867C9,mada,Debit,N/A,0
930490E2CAE5,Visa,Credit,Classic,1
832C4A1B1CC5,Visa,Debit,Classic,1
628703E3EB4D,Visa,Debit,Platinum,2
F380E1105CA0,Visa,Credit,Signature,3
11FB21790999,mada,Debit,N/A,0
7A1F9A3764C1,Visa,Prepaid,Platinum,2
BD5CBD3C3CBB,mada,Debit,N/A,0
E8712C197F90,mada,Debit,N/A,0
0070E8AD0203,Visa,Debit,Platinum,2
E32D5D2A6F2F,Visa,Credit,Platinum,2
DB451089DB30,Visa,Debit,Platinum,2
00700D18389C,Dual,Prepaid,Classic,1
B3C3AA4F1F6A,mada,Debit,N/A,0
5B0CE4DD9552,Visa,Credit,Platinum,2
03D7BF5E3F79,Visa,Debit,Classic,1
342C85256C1F,Dual,Credit,Platinum,2
F8A9D74730E4,mada,Debit,N/A,0
ADC9B8294ADD,Dual,Credit,Platinum,2
B881BD7428F2,Visa,Debit,Classic,1
AE195D4216DA,Visa,Credit,Platinum,2
B3FFCD9A355B,Visa,Prepaid,Platinum,2
90D9ED4A310F,mada,Debit,N/A,0
725FF2763DF4,Visa,Debit,Classic,1
37B277F88A8C,mada,Debit,N/A,0
CA855EBF3F32,Visa,Debit,Platinum,2
CB256D6B1342,Visa,Credit,Platinum,2
CDE466D89BB6,Visa,Debit,Classic,1
A0071EDE50EE,Visa,Credit,Platinum,2
3AABAD56274B,mada,Debit,N/A,0
96C0EAA0440D,Visa,Debit,Platinum,2
D1CEA4B9C4C6,mada,Debit,N/A,0
62781015C408,Visa,Prepaid,Classic,1
378EF4573460,mada,Debit,N/A,0
D1838F8C35A8,Visa,Debit,Classic,1
6FA5396F5D57,Visa,Debit,Classic,1
765506582048,mada,Debit,N/A,0
89353888BA79,Visa,Credit,Platinum,2
6C8BADA75C0C,mada,Debit,N/A,0
B5ADF1C99694,mada,Debit,N/A,0
40D6C3895FF7,Visa,Credit,Platinum,2
3637BC79D86B,mada,Debit,N/A,0
7CCBE50E4EBA,mada,Debit,N/A,0
276F200BBAE7,Visa,Debit,Classic,1
50B5B346361E,Visa,Debit,Platinum,2
C2B84C18C78C,mada,Prepaid,N/A,0
1B88206825E5,Visa,Credit,Platinum,2
B9D67A15A44F,Visa,Prepaid,Classic,1
492776A25CD8,mada,Debit,N/A,0
0809D06C3F02,Visa,Credit,Platinum,2
E11948A9A998,Visa,Debit,Classic,1
882B33CCF02B,Visa,Credit,Classic,1
E8D972A9A38A,Visa,Debit,Classic,1
64050478EACC,mada,Debit,N/A,0
FBC4AAA459D8,Visa,Credit,Signature,3
9AC76C0B4E19,mada,Prepaid,N/A,0
09EDBB9C7639,Visa,Debit,Classic,1
E6B1E8BD4253,Visa,Prepaid,Classic,1
CAF5C95DCBB7,mada,Debit,N/A,0
BFF0359331C8,Visa,Prepaid,Classic,1
B7992F5381CF,mada,Debit,N/A,0
8DCD2201981B,Visa,Debit,Classic,1
7CC69B3B3FEE,mada,Debit,N/A,0
056E703FAFD0,Visa,Credit,Platinum,2
984C5ECBD824,mada,Debit,N/A,0
C90FE317F507,mada,Debit,N/A,0
793828989125,Visa,Debit,Classic,1
F7F1E6B49BB7,Visa,Debit,Platinum,2
606F709DE186,mada,Debit,N/A,0
5317EEECB3A9,Visa,Credit,Platinum,2
9C31E2E4F972,mada,Debit,N/A,0
CF267084A6D9,Dual,Debit,Platinum,2
7AD150D412BD,Visa,Debit,Platinum,2
B81ED84FD37B,Visa,Debit,Signature,3
B0B77953BFF1,Visa,Debit,Platinum,2
174FA0FD2C54,mada,Debit,N/A,0
211888ED2958,mada,Debit,N/A,0
C4E6D409E88F,Visa,Credit,Platinum,2
89FF5F67321E,Visa,Debit,Classic,1
838B35672905,Dual,Credit,Platinum,2
2A8D61551A05,Visa,Debit,Platinum,2
1CEECE89CAD8,mada,Debit,N/A,0
3D2B269CDA36,Dual,Prepaid,Classic,1
95066164B898,Visa,Credit,Platinum,2
A6E88482505A,Visa,Credit,Platinum,2
8674EE3F8A6F,mada,Debit,N/A,0
D56A12AF6EF2,mada,Debit,N/A,0
1402E9A9510E,Visa,Credit,Platinum,2
BF18598B1B5D,Visa,Credit,Platinum,2
38742C988C95,Visa,Credit,Signature,3
02553F8C106B,mada,Debit,N/A,0
4A3BA26F962C,mada,Debit,N/A,0
758C31ED2331,Visa,Prepaid,Classic,1
8D1BE03E2BBC,Visa,Prepaid,Classic,1
36D4D550B9D3,mada,Debit,N/A,0
9C9A2CDF2DDF,Dual,Prepaid,Classic,1
58EBEF19FCA1,Visa,Credit,Classic,1
1A27025E8054,Dual,Debit,Classic,1
BE6A087AFE48,mada,Debit,N/A,0
FC6B246DE1D3,Visa,Credit,Signature,3
02E07EF96F7F,mada,Debit,N/A,0
1D7B344E86E3,Visa,Credit,Platinum,2
B929AB12652B,mada,Debit,N/A,0
E8E20CC70D65,Visa,Debit,Classic,1
43208B09B86A,mada,Debit,N/A,0
49FD138020B8,Visa,Credit,Platinum,2
5B43B3B55F27,mada,Debit,N/A,0
5BBCDC0AE953,Dual,Debit,Classic,1
EB62E0EC58DE,Visa,Prepaid,Classic,1
B1D4CEEF5EDA,Visa,Credit,Signature,3
C8C179CB0ACC,Visa,Credit,Platinum,2
65CD85F76348,Visa,Credit,Platinum,2
348A5DC11C8F,Visa,Prepaid,Classic,1
C4C3489ABBAE,mada,Prepaid,N/A,0
F9771719E1E0,mada,Credit,N/A,0
738674A83BE2,mada,Debit,N/A,0
C40D9A061BF5,mada,Debit,N/A,0
F128CCADF1C7,mada,Debit,N/A,0
FB3412CA4CDC,Visa,Debit,Classic,1
050D5EC7EB13,Visa,Credit,Platinum,2
CCCF9802641B,mada,Debit,N/A,0
E8C510C4C70D,mada,Debit,N/A,0
08E0154F2224,Visa,Credit,Platinum,2
4AB7A429C6A9,Visa,Debit,Classic,1
1505953A0E31,Visa,Debit,Classic,1
24E0DCB5ACAB,mada,Credit,N/A,0
E24E545D4AC3,Visa,Debit,Classic,1
02149F40DD8A,mada,Debit,N/A,0
AC30110E999B,Visa,Credit,Signature,3
0037B10D1406,Dual,Debit,Classic,1
A312132BEED8,Visa,Credit,Platinum,2
792F59E3F608,mada,Debit,N/A,0
E31845D77722,Visa,Credit,Platinum,2
487EEBA939D3,mada,Debit,N/A,0
265C00FB4E1E,mada,Debit,N/A,0
ED167ABBE24D,mada,Debit,N/A,0
DC3BB3B914AA,Visa,Debit,Platinum,2
F7F36936121D,mada,Debit,N/A,0
4B260A156469,Visa,Debit,Classic,1
9899B23E7440,Visa,Prepaid,Classic,1
5C678A8D11AE,mada,Debit,N/A,0
95D4D2449333,Visa,Credit,Platinum,2
80826145AA69,Visa,Credit,Classic,1
E05F51980023,Visa,Debit,Classic,1
48C97C5FC3CD,mada,Debit,N/A,0
AD7948D35167,Visa,Credit,Platinum,2
7187B6E5E8B5,mada,Debit,N/A,0
3FA7E8525B50,mada,Debit,N/A,0
C264D913F17D,mada,Debit,N/A,0
CA3349D5BF24,Visa,Debit,Classic,1
141102D9A59D,Visa,Debit,Signature,3
502C0C944C73,mada,Debit,N/A,0
E544951B625A,Visa,Credit,Signature,3
72D8E5BB196C,Visa,Credit,Classic,1
28B233FFE75D,Visa,Debit,Classic,1
8103E63C100F,Dual,Debit,Classic,1
173393C25EEF,Visa,Credit,Classic,1
E5B825F7A4F9,mada,Debit,N/A,0
5F04D651CBCE,mada,Debit,N/A,0
08B5309B58C8,Visa,Credit,Platinum,2
D098AEDC78EE,mada,Debit,N/A,0
E7DF271ADF34,Visa,Debit,Platinum,2
8EE48BDB7251,Visa,Credit,Platinum,2
460BEC4D550B,Visa,Credit,Classic,1
B8C8C5001C36,mada,Debit,N/A,0
6F0014841301,mada,Debit,N/A,0
013790F5B3B4,Visa,Debit,Classic,1
E6B92C80D21E,mada,Debit,N/A,0
B42D800BBCF9,mada,Debit,N/A,0
D5E6732086C4,mada,Debit,N/A,0
CDC274672DB3,Visa,Credit,Classic,1
BAD1C51ECF99,Visa,Credit,Platinum,2
C40F3565E224,Dual,Prepaid,Classic,1
188AB740B409,Visa,Credit,Platinum,2
792D02697CAF,Dual,Debit,Platinum,2
C48D5CC46C20,mada,Debit,N/A,0
62A3A44633DB,Visa,Debit,Classic,1
B2AF0F55693B,mada,Debit,N/A,0
B988A197CB6D,Dual,Prepaid,Classic,1
F9F3C478827D,mada,Debit,N/A,0
000A6ABF10C8,Visa,Debit,Platinum,2
BF2B2D60C173,mada,Debit,N/A,0
A5371293983B,Visa,Credit,Platinum,2
BA9E30BDA495,Visa,Credit,Platinum,2
82A377D66095,Visa,Debit,Platinum,2
B67FFAD311B9,mada,Debit,N/A,0
4DAB8B4321F0,mada,Debit,N/A,0
2AB56DE2378B,Visa,Credit,Platinum,2
8B71748BA979,mada,Debit,N/A,0
A3AECBC5C489,Visa,Credit,Signature,3
36F6DBA32976,mada,Debit,N/A,0
C3461CC65840,mada,Debit,N/A,0
7E83BB1E8E2C,Dual,Debit,Platinum,2
8FACF244D894,mada,Debit,N/A,0
32273BE14C00,mada,Debit,N/A,0
E491677E5570,mada,Debit,N/A,0
E4551D945E4B,Visa,Credit,Platinum,2
7B82E91E5175,mada,Prepaid,N/A,0
DC9D3464554A,Visa,Credit,Signature,3
7EE388D2CBF7,Visa,Credit,Signature,3
D9CBD686F61C,Visa,Credit,Platinum,2
2435AEBE7F5A,Visa,Debit,Platinum,2
D209801CA9C5,mada,Debit,N/A,0
2BFA4144AE6F,mada,Debit,N/A,0
3993220ECCF4,Visa,Debit,Classic,1
856692B69577,Visa,Debit,Platinum,2
9BAE65547609,mada,Debit,N/A,0
374ABAA85018,Visa,Credit,Signature,3
3B5C15D8473E,mada,Debit,N/A,0
3DA63A3190A3,mada,Debit,N/A,0
F7A47975D574,Visa,Debit,Classic,1
D380FB3E66A8,mada,Debit,N/A,0
DDF32B287182,Visa,Prepaid,Classic,1
89ACC94165A9,Visa,Debit,Classic,1
3FCE9C04F46B,Visa,Credit,Signature,3
48CACB24C423,mada,Debit,N/A,0
057008704C46,Dual,Debit,Classic,1
279642331A71,Visa,Credit,Platinum,2
8033845154D0,mada,Debit,N/A,0
A93C6E29286F,mada,Debit,N/A,0
8E4F5CEFA3AD,mada,Debit,N/A,0
4F82CAE40D99,mada,Debit,N/A,0
709B132FE789,Visa,Credit,Platinum,2
84C455DC034D,mada,Debit,N/A,0
4021723B0DA9,mada,Debit,N/A,0
D50A4A192D16,mada,Debit,N/A,0
CD043BC2CEA5,mada,Debit,N/A,0
F5174C525981,Visa,Debit,Classic,1
5DDC45FD39DA,Visa,Debit,Classic,1
AEE3A46565BC,Dual,Debit,Classic,1
87896E581AE9,Visa,Credit,Classic,1
5724F542EDE0,mada,Debit,N/A,0
9A7C053CA6F3,Visa,Credit,Platinum,2
130201D7304D,mada,Debit,N/A,0
9AEE59668297,Visa,Debit,Classic,1
BC7821C7D965,mada,Debit,N/A,0
98D12A507E8B,mada,Debit,N/A,0
41B6C7B35A16,mada,Debit,N/A,0
6A684BA78FF8,Visa,Debit,Classic,1
2CAEE59A9540,Visa,Debit,Classic,1
BB188AB14687,mada,Debit,N/A,0
97A0F0CC6720,mada,Debit,N/A,0
E2E7515C16B1,mada,Prepaid,N/A,0
59AB18FC7F54,mada,Debit,N/A,0
59BE2CCAA81F,Visa,Credit,Platinum,2
FBEDE78E3094,Visa,Prepaid,Classic,1
51E2BBBFA02F,mada,Debit,N/A,0
D4879FA6569D,Dual,Debit,Platinum,2
124858F07B72,Visa,Credit,Classic,1
9AB12376BE13,mada,Debit,N/A,0
1C5F5B048A47,Visa,Credit,Signature,3
C3DE9AB9AEE2,mada,Debit,N/A,0
FBB5425F8D6F,mada,Debit,N/A,0
98D7B35C9A2B,mada,Debit,N/A,0
F05CA58612C9,Visa,Debit,Classic,1
3F030D356B02,Visa,Debit,Platinum,2
00AEA4E7A741,mada,Debit,N/A,0
0F64A2505633,Dual,Debit,Classic,1
2C924EF19448,mada,Debit,N/A,0
CF0019903404,mada,Debit,N/A,0
C983635459DF,Visa,Debit,Classic,1
C2DD38A3705D,mada,Debit,N/A,0
CCC6A843D485,mada,Debit,N/A,0
87BFF66CB207,Visa,Credit,Platinum,2
CBB604E5A14F,Visa,Credit,Platinum,2
103CE7601F80,mada,Debit,N/A,0
7E2C1F43DE91,Visa,Debit,Signature,3
B20FAD79E667,Visa,Credit,Platinum,2
12666855C79F,Visa,Debit,Classic,1
9D34B15A7888,Visa,Credit,Classic,1
3032DE19AA66,Visa,Debit,Signature,3
28924AA92CEF,Visa,Debit,Platinum,2
684D432B5977,mada,Debit,N/A,0
BB218AFBF36F,mada,Debit,N/A,0
36A0C608353A,Visa,Credit,Platinum,2
31F8C06627F8,Visa,Credit,Classic,1
73BC1352A5F3,mada,Credit,N/A,0
5EBCDD807DE3,mada,Debit,N/A,0
77D7F4C2775E,Visa,Credit,Platinum,2
888CFF475593,mada,Debit,N/A,0
01AD1E85A050,Dual,Debit,Classic,1
B6A7398DEBA1,mada,Debit,N/A,0
F3781E588880,Visa,Debit,Platinum,2
78D4AA2DB22D,Visa,Credit,Signature,3
D0F4F4A8E584,Visa,Debit,Classic,1
D2ADB0CE4379,mada,Debit,N/A,0
03CDD1CF9946,Visa,Debit,Platinum,2
ED8CE85E3273,Dual,Debit,Classic,1
A6D0627657C3,mada,Debit,N/A,0
C3EFFB6E3EB7,Visa,Credit,Classic,1
3C78BE524A23,Visa,Credit,Platinum,2
05953A625667,mada,Debit,N/A,0
1DB95EB22BE8,Visa,Debit,Classic,1
0FB98DFCBABB,mada,Debit,N/A,0
45F4D39C2BFB,mada,Debit,N/A,0
BB93953A2C15,mada,Debit,N/A,0
F47C807451BE,Visa,Debit,Signature,3
9054E6E3BA6E,Visa,Prepaid,Classic,1
CDC372A423A3,Visa,Credit,Signature,3
5B7CF2994B34,Visa,Debit,Classic,1
2D9F831C655E,Dual,Credit,Signature,3
AB6B61BD5531,mada,Debit,N/A,0
D10B361BFE5A,mada,Debit,N/A,0
A93BF2CEDA89,Visa,Credit,Platinum,2
7F0DABF8B5B5,mada,Debit,N/A,0
ADA920393AFB,Visa,Credit,Platinum,2
A94562DD775F,Dual,Credit,Classic,1
8DAE0C900644,Visa,Credit,Signature,3
52D17E36565F,mada,Debit,N/A,0
AF4D614A461E,Dual,Debit,Classic,1
D959A46CB19C,Visa,Credit,Platinum,2
15E8924E7A1B,Visa,Debit,Classic,1
F5DF0BCAFC50,mada,Debit,N/A,0
5D09F0544B49,Visa,Credit,Classic,1
7489D84D3BD2,mada,Debit,N/A,0
B835E39F8F53,Visa,Credit,Platinum,2
66A07B11FBC3,Dual,Debit,Platinum,2
0110EB391E0C,Visa,Debit,Platinum,2
341902D64A1E,Visa,Debit,Classic,1
7250CA1FE8C6,Visa,Prepaid,Classic,1
F1CDB6FC4956,Visa,Debit,Classic,1
AF2DC7D17788,Dual,Credit,Classic,1
9B8A46AA6A32,Visa,Debit,Platinum,2
1C434D658E2F,Dual,Credit,Classic,1
A5A0D6FD48E8,Dual,Prepaid,Classic,1
1606CC4F963E,Visa,Debit,Platinum,2
E6B2E9744384,mada,Debit,N/A,0
62767270A2A4,Visa,Prepaid,Classic,1
CDF228359051,Visa,Debit,Classic,1
ADBB28D1DB7C,mada,Debit,N/A,0
4DAADC87A9DD,Visa,Credit,Classic,1
D430A534A4CE,Visa,Debit,Classic,1
C9957644692E,Visa,Debit,Platinum,2
BCA0491EB42E,Visa,Debit,Platinum,2
1C474F19664A,Dual,Credit,Signature,3
506A301943D9,Visa,Credit,Platinum,2
E0FCB65B51D2,Visa,Prepaid,Classic,1
166C6DED28A0,Visa,Prepaid,Classic,1
6D705AD95EAF,Visa,Credit,Platinum,2
6CE4BE21F24D,mada,Credit,N/A,0
DD170E2E1B73,Visa,Debit,Classic,1
1384755E3D8C,mada,Debit,N/A,0
FC234E5B6370,Dual,Credit,Classic,1
7A152EFD235A,Visa,Credit,Classic,1
8DC87E0A6CAE,mada,Prepaid,N/A,0
210397DE283A,mada,Debit,N/A,0
B7F07C8E8CC3,mada,Debit,N/A,0
619E0AB4E0DF,mada,Debit,N/A,0
5A24E5AA643F,Visa,Debit,Classic,1
2BC97E71C762,Visa,Debit,Classic,1
D3AFA77B3ED3,Visa,Credit,Platinum,2
747612169272,Dual,Credit,Classic,1
F4CEE6660C52,Visa,Debit,Classic,1
9BFBE9330A62,Visa,Debit,Platinum,2
ADF6AD28E0F4,Visa,Debit,Platinum,2
33214F43DAB5,Visa,Prepaid,Classic,1
C40F5F88021A,Visa,Debit,Classic,1
DA67BA9D073F,mada,Debit,N/A,0
AA0F57696700,Visa,Debit,Platinum,2
426EF2C25254,Visa,Debit,Classic,1
CCE1D1399A85,Visa,Credit,Platinum,2
42A917A03E44,Visa,Debit,Classic,1
A2828EDFE1FB,Visa,Credit,Platinum,2
1508AE9456B8,mada,Debit,N/A,0
A076DC2A02EA,Visa,Debit,Classic,1
EA0C3B959C5C,Visa,Debit,Classic,1
2E19EF983DC0,Visa,Credit,Classic,1
8B3B55DA1B66,Visa,Prepaid,Classic,1
9B1F32EF04F4,mada,Debit,N/A,0
754B7F6BEE5A,Dual,Credit,Signature,3
CCE11BD47F15,Visa,Credit,Platinum,2
C4247D55AEFC,mada,Debit,N/A,0
695149E40D77,mada,Prepaid,N/A,0
3BD3752A3100,mada,Debit,N/A,0
B50FA14E6A6D,Dual,Credit,Platinum,2
DAAE830A3592,Visa,Prepaid,Classic,1
CF112205181C,mada,Debit,N/A,0
95459ABDA60D,mada,Debit,N/A,0
D4A02411CB9F,mada,Debit,N/A,0
50F501617CEB,mada,Debit,N/A,0
F60354D35C89,Visa,Debit,Classic,1
C267394DF412,Dual,Credit,Platinum,2
814C1B3C28CD,Visa,Debit,Classic,1
FFCA4C3F2F8A,Visa,Credit,Classic,1
B87980B4FB0C,mada,Debit,N/A,0
C188286AA8B7,Visa,Credit,Platinum,2
51CB0E2CED53,Visa,Debit,Classic,1
6DE93352E424,Visa,Debit,Classic,1
51C17CAA3C3A,Visa,Credit,Platinum,2
0BEB9CBF0C38,Visa,Debit,Classic,1
6C3467D6F110,Visa,Debit,Classic,1
287960AB0A5D,Visa,Credit,Platinum,2
CCA009ED9961,Visa,Debit,Classic,1
63448116576B,Visa,Debit,Platinum,2
2024B4D14824,mada,Debit,N/A,0
15D2560451A5,mada,Debit,N/A,0
16B7FE96E59D,Visa,Prepaid,Classic,1
